I,27.81,91.55,-7.09,7
I,27.87,40.26,-7.09,7
I,27.81,42.13,-7.09,7
I,27.87,40.14,-7.09,7
I,27.87,40.14,-7.09,7
I,27.87,40.14,-7.09,7
I,27.87,40.14,-7.09,7
I,27.87,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.87,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.1?I,27.81,40.02,-7.09,7
I,27.81,91.6??r??b?j
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.87,40.02,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.02,-7.09,7
I,27.87,40.14,-7.09,7
I,27.87,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,92.37,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.14,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,91.4.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.79,-7.09,7
I,27.81,39.79,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.79,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,91.55,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.90,?I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.79,-7.09,7
I,27.81,39.79,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,40.02,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.90,-7.09,7
I,27.81,39.90,-7.09,7
I,26.25,24.41,2.96,8.00
I,26.25,24.41,2.76,8.09
I,26.25,24.53,2.59,8.13
I,26.25,24.41,2.30,8.03
I,26.25,24.41,2.07,7.91
I,26.25,24.53,2.02,7.78
I,26.25,24.41,2.02,7.80
I,26.25,24.41,2.02,7.85
I,26.25,24.53,1.93,7.95
I,26.25,24.53,1.82,8.00
I,26.25,24.53,1.64,7.92
I,26.25,24.53,1.44,7.85
I,26	?r??b?r??b?r??j
I,26.25,24.53,1.27,7.67
I,26.31,24.41,1.?I,26.25,24.53,1.33,7.71
I,26.25,24.53,1.36,7.75
I,26.31,24.53,1.27,7.82
I,26.31,24.53,1.21,7.87
I,26.31,24.53,1.10,7.92
I,26.31,24.53,1.04,7.83
I,26.31,24.53,0.92,7.81
I,26.31,24.53,0.84,7.77
I,26.31,24.65,0.69,7.71


